problem_statement,paraphrased
Polycarp is an organizer of a Berland ICPC regional event There are n universities in Berland numbered from 1 to n Polycarp knows all competitive programmers in the region There are n students the i th student is enrolled at a university u i and has a programming skill s i Polycarp has to decide on the rules now In particular the number of members in the team Polycarp knows that if he chooses the size of the team to be some integer k each university will send their k strongest with the highest programming skill s students in the first team the next k strongest students in the second team and so on If there are fewer than k students left then the team can t be formed Note that there might be universities that send zero teams The strength of the region is the total skill of the members of all present teams If there are no teams present then the strength is 0 Help Polycarp to find the strength of the region for each choice of k from 1 to n ,"Polycarp is organizing a Berland ICPC regional event. There are $n$ universities in Berland, numbered from 1 to $n$. He knows all the competitive programmers in the region: there are $n$ students, where the $i$?th student is enrolled at university $u_i$ and has programming skill $s_i$.

Polycarp must choose a team size $k$. If he selects $k$, then from each university:

* The $k$ students with the highest skill $s_i$ form the first team;
* The next $k$ strongest form the second team;
* And so on;
* If fewer than $k$ students remain, they cannot form another team.

Some universities may send zero teams. The strength of the region is defined as the total skill of all members across all formed teams; if no teams are formed, the strength is 0.

Compute the region’s strength for every choice of $k$ from 1 to $n$."
There is a game where you need to move through a labyrinth The labyrinth consists of n platforms connected by m passages Each platform is at some level l i an integer number from 0 to H 1 In a single step if you are currently on platform i you can stay on it or move to another platform j To move to platform j they have to be connected by the passage and their levels have to be the same namely l i l j After each step the levels of all platforms change The new level of platform i is calculated as l i l i s i bmod H for all i You start on platform 1 Find the minimum number of steps you need to get to platform n ,"
In a certain game you must traverse a labyrinth of $n$ platforms connected by $m$ passages. Each platform $i$ has an integer level $l_i$ (with $0 \le l_i < H$). You begin on platform 1. In each step you may either remain on your current platform $i$ or move along a passage to a platform $j$ that is directly connected to $i$, but only if $l_i = l_j$. After every step, all platforms update their levels simultaneously according to

$$
l_i \;\gets\;\bigl(l_i + s_i\bigr)\bmod H
$$

for all $i$. Compute the minimum number of steps required to reach platform $n$."
You are given a string consisting of lowercase Latin letters You have to type this string using your keyboard Initially you have an empty string Until you type the whole string you may perform the following operation add a character to the end of the string Besides you may perform one additional operation copy the string and append it to itself For example if you have to type string you can type it in operations if you type all the characters one by one However you can type it in operations if you type the string first and then copy it and type the last character If you have to type string the best option is to type characters one by one then copy the string and then type the remaining character Print the minimum number of operations you need to type the given string ,"
You are given a string of lowercase Latin letters. You must type this string on your keyboard, starting from an empty string. Until the target string is complete, you may repeatedly:

* **Append** a single character of your choice to the end of the current string.

In addition, you are allowed to use **one** special operation:

* **Copy** the entire current string and append it to itself.

For example, if you need to type `s`, you could type every character one by one in operations. Alternatively, you could type a prefix of `s`, perform the copy operation, and then type the remaining character in operations. In the case of `t`, the optimal strategy is to type characters individually, copy the string once, and then type the final character.

Print the minimum number of operations required to type the given string."
Four players participate in the playoff tournament The tournament is held according to the following scheme the first player will play with the second and the third player with the fourth then the winners of the pairs will play in the finals of the tournament It is known that in a match between two players the one whose skill is greater will win The skill of the i th player is equal to s i and all skill levels are pairwise different i e there are no two identical values in the array s The tournament is called if the two players with the highest skills meet in the finals Determine whether the given tournament is ,"
Four players, numbered?1 through?4, compete in a single-elimination playoff: in the semifinals, player?1 faces player?2 and player?3 faces player?4; the winners then meet in the final. Each player?$i$ has a distinct skill level $s_i$, and in any match the higher?skilled player wins. The tournament is called **interesting** if the two players with the highest skill levels meet in the final. Determine whether the given tournament is interesting."
Little Petya very much likes playing with little Masha Recently he has received a game called Zero One as a gift from his mother Petya immediately offered Masha to play the game with him Before the very beginning of the game several cards are lain out on a table in one line from the left to the right Each card contains a digit 0 or 1 Players move in turns and Masha moves first During each move a player should remove a card from the table and shift all other cards so as to close the gap left by the removed card For example if before somebody s move the cards on the table formed a sequence 01101 then after the fourth card is removed the cards are numbered starting from 1 the sequence will look like that 01101 The game ends when exactly two cards are left on the table The digits on these cards determine the number in binary notation the most significant bit is located to the left Masha s aim is to minimize the number and Petya s aim is to maximize it An unpleasant accident occurred before the game started The kids spilled juice on some of the cards and the digits on the cards got blurred Each one of the spoiled cards could have either 0 or 1 written on it Consider all possible variants of initial arrangement of the digits before the juice spilling For each variant let s find which two cards are left by the end of the game assuming that both Petya and Masha play optimally An ordered pair of digits written on those two cards is called an Your task is to find the set of outcomes for all variants of initial digits arrangement ,"
Little Petya loves playing with Masha. He just received a game called “Zero One” as a gift, and invited Masha to play. Before the game starts, several cards are laid out in a row, each showing either 0 or 1. Players alternate turns, with Masha going first. On each turn, a player removes one card and shifts the remaining cards to close the gap.

For example, if the cards form the sequence?01101 and the fourth card is removed, the cards—renumbered from 1—will again read 01101.

The game ends when exactly two cards remain. Those two digits form a binary number (most significant bit on the left). Masha aims to minimize this number; Petya aims to maximize it.

Unfortunately, before play began, some cards were blurred by juice spills, so each blurred card could originally have been either 0 or?1. Considering every possible original arrangement of digits, and assuming both players play optimally, determine for each arrangement which two cards remain. An ordered pair of digits on the final two cards is called an ?Your task is to find the set of all such outcomes over every possible initial arrangement."
It is a very important day for Katya She has a test in a programming class As always she was given an interesting problem that she solved very fast Can you solve that problem You are given n ordered segments sets Each segment can be represented as a pair of two integers l r where l leq r Each set can contain an arbitrary number of segments even 0 It is possible that some segments are equal You are also given m queries each of them can be represented as four numbers a b x y For each segment find out whether it is true that each set p a leq p leq b contains at least one segment l r that lies entirely on the segment x y that is x leq l leq r leq y Find out the answer to each query Note that you need to solve this problem That is you will get a new query only after you print the answer for the previous query ,"
Katya has an important programming?class test today, and she was given a problem to solve. You are given $n$ ordered sets of segments. Each segment is a pair of integers $(l, r)$ with $l \le r$. A set may contain any number of segments (possibly zero), and segments may repeat. You then receive $m$ queries, each described by four integers $a, b, x, y$. For each query, determine whether every set $p$ with $a \le p \le b$ contains at least one segment $(l, r)$ that lies entirely within $[x, y]$; that is, satisfies

$$
x \le l \le r \le y.
$$

Answer each query before receiving the next."
You are given a special undirected graph It consists of 2n vertices numbered from 1 to 2n The following properties hold for the graph there are exactly 3n 2 edges in the graph n edges connect vertices having odd numbers with vertices having even numbers n 1 edges connect vertices having odd numbers with each other and n 1 edges connect vertices having even numbers with each other for each edge u v between a pair of vertices with odd numbers there exists an edge u 1 v 1 and vice versa for each odd number u in 1 2n 1 there exists an edge u u 1 the graph is connected moreover if we delete all vertices with even numbers from it and all edges incident to them the graph will become a tree the same applies to deleting odd vertices So the graph can be represented as two trees having the same structure and n edges connecting each vertex of the first tree to the corresponding vertex of the second tree Edges of the graph are weighted The length of some simple path in the graph is the sum of weights of traversed edges You are given q queries to this graph in each query you are asked to compute the length of the shortest path between some pair of vertices in this graph Can you answer all of the queries ,"
You are given a special undirected graph on $2n$ vertices, numbered from 1 to $2n$. The graph satisfies:

* It contains exactly $3n-2$ edges.
* $n$ edges join odd?numbered vertices to even?numbered vertices.
* $n-1$ edges join odd?numbered vertices among themselves, and $n-1$ edges join even?numbered vertices among themselves.
* For each edge $(u,v)$ between two odd vertices there is a corresponding edge $(u+1,v+1)$, and vice versa.
* For every odd $u\in\{1,3,\dots,2n-1\}$, there is an edge $(u,u+1)$.
* The graph is connected. Moreover, if all even?numbered vertices (and their incident edges) are removed, the remaining subgraph is a tree; the same holds when all odd?numbered vertices are removed.

Thus, the graph can be viewed as two isomorphic trees (one on the odd vertices, one on the even vertices) plus $n$ “matching” edges linking each odd vertex to its even counterpart. Each edge has a weight, and the length of any simple path is the sum of its edge weights.

You are then given $q$ queries, each asking for the length of the shortest path between a specified pair of vertices. Compute the answer to each query."
You are given a binary string s of length n consisting of zeros and ones You can perform the following operation Choose an integer p 1 le p le n Reverse the substring s 1 s 2 ldots s p After this step the string s 1 s 2 ldots s n will become s p s p 1 ldots s 1 s p 1 s p 2 ldots s n Then perform a cyclic shift of the string s to the left p times After this step the initial string s 1s 2 ldots s n will become s p 1 s p 2 ldots s n s p s p 1 ldots s 1 For example if you apply the operation to the string with p 3 after the second step the string will become and after the third step it will become A string s is called if two conditions are met s 1 s 2 ldots s k s i k neq s i for any i 1 le i le n k For example with k 3 the strings and are k proper while the strings and are not You are given an integer k which of n Find an integer p 1 le p le n such that after performing the operation the string s becomes k proper or determine that it is impossible Note that if the string is initially k proper you still need to apply exactly one operation to it ,"
You are given a binary string?$s$ of length?$n$ (each character is ‘0’ or ‘1’) and an integer?$k$ with $1\le k<n$. You must apply exactly one operation, defined as follows. Choose an integer $p$ ($1\le p\le n$), then:

1. Reverse the prefix of length $p$, so that

   $$
   s[1..n]\;\longrightarrow\;s[p]\;s[p-1]\;\dots\;s[1]\;s[p+1]\;\dots\;s[n].
   $$
2. Perform a cyclic left shift of the entire string by $p$ positions, yielding

   $$
   s[1..n]\;\longrightarrow\;s[p+1]\;s[p+2]\;\dots\;s[n]\;s[p]\;s[p-1]\;\dots\;s[1].
   $$

A string is called *$k$-proper* if for every $i$ with $1\le i\le n-k$,

$$
s[i]\neq s[i+k].
$$

Find any $p$ ($1\le p\le n$) such that, after applying the operation, the resulting string is $k$-proper. If no such $p$ exists, report that it is impossible. Even if the original string is already $k$-proper, you must still perform exactly one operation."
Spyofgame founder of Orzlim religionA long time ago Spyofgame invented the famous array a 1 indexed of length n that contains information about the world and life After that he decided to convert it into the matrix b 0 indexed of size n 1 times n 1 which contains information about the world life and beyond Spyofgame converted a into b with the following rules b i 0 0 if 0 leq i leq n b 0 i a i if 1 leq i leq n b i j b i j 1 oplus b i 1 j if 1 leq i j leq n Here oplus denotes the bitwise XOR operation Today archaeologists have discovered the famous matrix b However many elements of the matrix has been lost They only know the values of b i n for 1 leq i leq n note that these are some elements of the last not the last The archaeologists want to know what a possible array of a is Can you help them reconstruct any array that could be a ,"
Spyofgame, founder of the Orzlim religion, long ago invented a 1?indexed array $a$ of length $n$ containing information about the world and life. He then constructed a 0?indexed matrix $b$ of size $(n+1)\times(n+1)$ by the following rules:

* $b[i][0] = 0$ for all $0 \le i \le n$.
* $b[0][i] = a[i]$ for all $1 \le i \le n$.
* $b[i][j] = b[i][j-1] \oplus b[i-1][j]$ for all $1 \le i, j \le n$,

where $\oplus$ denotes bitwise XOR. Today, archaeologists have recovered only the values $b[i][n]$ for $1 \le i \le n$. Reconstruct and output any array $a$ that could have produced these entries of $b$."
Advertising has become part of our routine And now in the era of progressive technologies we need your ideas to make advertising better In this problem we ll look at a simplified version of context advertising You ve got a text consisting of exactly words A standard advertising banner has exactly lines each line can contain at most characters The potential customer always likes it when they can see lots of advertising so you should determine which maximum number of consecutive words from the text can be written on the banner Single words in one line of the banner should be separated by spaces You are allowed to insert more than one space at once Note that you are not allowed to break the words that is each word in the text must occupy exactly one line in the banner Besides you cannot change the word order that is if you read the banner text consecutively from top to bottom and from left to right you should get some consecutive part of the advertisement text More formally the statement can be written like that Let s say that all words are indexed from to in the order in which they occur in the advertisement text Then you have to choose all words starting from some th one and ending with some th one so that all of them could be written on the banner There must be as many words as possible See the samples for clarifications ,"
You are given a text of exactly $n$ words. A standard advertising banner has exactly $k$ lines, and each line can hold at most $m$ characters. You wish to display as many consecutive words from the text as possible on this banner.

* You may not split any word across lines.
* Within a line, words must be separated by at least one space (you may use multiple spaces).
* You may not change the order of words: reading the banner from top to bottom, left to right must yield a contiguous block of the original text.

Formally, label the words $1$ through $n$. Find indices $i$ and $j$ ($1 \le i \le j \le n$) so that words $i,i+1,\dots,j$ can all be placed on the banner under these rules, and $j-i+1$ is as large as possible. Output this maximum number of words."
Calculate the value of the sum As the result can be very large you should print the value modulo the remainder when divided by The modulo operator stands for the remainder after dividing by For example ,"Compute the value of the given sum. Since the result may be very large, print its value modulo?m — that is, the remainder after dividing by?m. Here, the modulo operator denotes the remainder operation. For example,"
In the court of the Blue King Lelle and Flamm are having a performance match The match consists of several rounds In each round either Lelle or Flamm wins Let W L and W F denote the number of wins of Lelle and Flamm respectively The Blue King considers a match to be if and only if after every round gcd W L W F le 1 at the end of the match W L le n W F le m Note that gcd 0 x gcd x 0 x for every non negative integer x Lelle and Flamm can decide to stop the match whenever they want and the final score of the performance is l cdot W L f cdot W F Please help Lelle and Flamm coordinate their wins and losses such that the performance is and the total score of the performance is maximized ,"In the court of the Blue King, Lelle and Flamm play a performance match made up of several rounds; in each round, exactly one of them wins. Let $W_L$ and $W_F$ denote the total wins of Lelle and Flamm, respectively. The match is considered valid if and only if after every round $\gcd(W_L,W_F)\le 1$, and at its conclusion $W_L\le n$ and $W_F\le m$. (Here $\gcd(0,x)=\gcd(x,0)=x$ for any non?negative integer $x$.) They may stop the match at any time, and the final score is

$$
\ell\cdot W_L \;+\; f\cdot W_F.
$$

Determine how they should allocate wins so that the match is valid and the total score is maximized."
Have you ever tried to explain to the coordinator why it is eight hours to the contest and not a single problem has been prepared yet Misha had And this time he has a strong excuse he faced a space time paradox Space and time replaced each other The entire universe turned into an enormous clock face with three hands hour minute and second Time froze and clocks now show the time hours minutes seconds Last time Misha talked with the coordinator at o clock so now he stands on the number on the clock face The contest should be ready by o clock In the terms of paradox it means that Misha has to go to number somehow Note that he doesn t have to move forward only in these circumstances time has no direction Clock hands are very long and Misha cannot get round them He also cannot step over as it leads to the collapse of space time That is if hour clock points 12 and Misha stands at 11 then he cannot move to 1 along the top arc He has to follow all the way round the clock center of course if there are no other hands on his way Given the hands positions and find if Misha can prepare the contest on time or should we say That is find if he can move from to by the clock face ,"
Space and time have swapped places, turning the universe into a giant clock face with three hands (hour, minute, and second). Time is frozen, and the clock shows $H$ hours, $M$ minutes, and $S$ seconds. Misha last spoke with the coordinator at $t_1$ o’clock, so he stands at the mark $t_1$ on the clock face. The contest must be ready by $t_2$ o’clock, which means Misha needs to move from mark $t_1$ to mark $t_2$. He may travel either clockwise or counterclockwise, but the hands are immovable barriers—he cannot cross over any of them (stepping past a hand would collapse space?time). Determine whether Misha can reach $t_2$ from $t_1$ without crossing the hour, minute, or second hand."
You are given a directed acyclic graph with vertices and edges There are no self loops or multiple edges between any pair of vertices Graph can be disconnected You should assign labels to all vertices in such a way that Labels form a valid permutation of length an integer sequence such that each integer from to appears exactly once in it If there exists an edge from vertex to vertex then should be smaller than Permutation should be lexicographically smallest among all suitable Find such sequence of labels to satisfy all the conditions ,"
You are given a directed acyclic graph with $n$ vertices and $m$ edges. There are no self?loops or multiple edges, and the graph may be disconnected. Assign to each vertex a distinct label from $1$ to $n$ (i.e., form a permutation of length $n$) such that for every directed edge $(u \to v)$, the label of $u$ is smaller than the label of $v$. Among all permutations satisfying this, output the lexicographically smallest one."
After bracket sequences Arthur took up number theory He has got a new favorite sequence of length consisting of integers and integer not exceeding This sequence had the following property if you write out the sums of all its segments consisting of consecutive elements then those numbers will form strictly increasing sequence For example for the following sample the sequence of numbers will look as follows that means that sequence meets the described property Obviously the sequence of sums will have elements Somebody we won t say who replaced some numbers in Arthur s sequence by question marks if this number is replaced it is replaced by exactly one question mark We need to restore the sequence so that it meets the required property and also minimize the sum where is the absolute value of ,"
You are given a sequence of length $n$ whose elements are integers $a_1,a_2,\dots,a_n$ (each $|a_i|$ does not exceed the given bound). This sequence has the property that if you list the sums of all its consecutive?element segments, those $\tfrac{n(n+1)}{2}$ sums form a strictly increasing sequence.

Someone has replaced some of the $a_i$ with question marks (‘?’), each ‘?’ standing for exactly one unknown element. Restore any sequence of integers satisfying the segment?sum property and minimizing

$$
\sum_{i=1}^{n} \bigl|a_i\bigr|.
$$"
In the snake exhibition there are n rooms numbered 0 to n 1 arranged in a circle with a snake in each room The rooms are connected by n conveyor belts and the i th conveyor belt connects the rooms i and i 1 bmod n In the other words rooms 0 and 1 1 and 2 ldots n 2 and n 1 n 1 and 0 are connected with conveyor belts The i th conveyor belt is in one of three states If it is clockwise snakes can only go from room i to i 1 bmod n If it is anticlockwise snakes can only go from room i 1 bmod n to i If it is off snakes can travel in either direction Above is an example with 4 rooms where belts 0 and 3 are off 1 is clockwise and 2 is anticlockwise Each snake wants to leave its room and come back to it later A room is if the snake there can leave the room and later come back to it using the conveyor belts How many such rooms are there ,"There are $n$ rooms, numbered $0$ through $n-1$, arranged in a circle, each containing a snake. The rooms are connected by $n$ conveyor belts: the $i$-th belt links room $i$ with room $(i+1)\bmod n$. Each belt may be in one of three states:

* **Clockwise**: snakes may travel only from room $i$ to room $(i+1)\bmod n$.
* **Anticlockwise**: snakes may travel only from room $(i+1)\bmod n$ to room $i$.
* **Off**: snakes may travel in either direction between the two rooms.

For example, when $n=4$, if belts 0 and 3 are off, belt 1 is clockwise, and belt 2 is anticlockwise, the connections form the configuration illustrated above.

A room is called **good** if the snake starting there can leave the room and later return to it using one or more conveyor belts (possibly passing through other rooms). Determine how many good rooms there are."
Today Patrick waits for a visit from his friend Spongebob To prepare for the visit Patrick needs to buy some goodies in two stores located near his house There is a meter long road between his house and the first shop and a meter long road between his house and the second shop Also there is a road of length directly connecting these two shops to each other Help Patrick calculate the minimum distance that he needs to walk in order to go to both shops and return to his house Patrick always starts at his house He should visit both shops moving only along the three existing roads and return back to his house He doesn t mind visiting the same shop or passing the same road multiple times The only goal is to minimize the total distance traveled ,"Patrick needs to buy goodies at two shops located near his house. There is a?\_\_\_?meter?long road between his house and the first shop, a?\_\_\_?meter?long road between his house and the second shop, and a?\_\_\_?meter?long road directly connecting the two shops. Patrick starts at his house, must visit both shops (in any order) by traveling only along these three roads, and then return home. He may traverse the same road or visit the same shop multiple times. Determine the minimum total distance Patrick must walk."
A new virus called CodeVid 23 has spread among programmers Rudolf being a programmer was not able to avoid it There are n symptoms numbered from 1 to n that can appear when infected Initially Rudolf has some of them He went to the pharmacy and bought m medicines For each medicine the number of days it needs to be taken is known and the set of symptoms it removes Unfortunately medicines often have side effects Therefore for each medicine the set of symptoms that appear when taking it is also known After reading the instructions Rudolf realized that taking more than one medicine at a time is very unhealthy Rudolph wants to be healed as soon as possible Therefore he asks you to calculate the minimum number of days to remove all symptoms or to say that it is impossible ,"Rudolf has been infected with a new virus, CodeVid?23, and suffers from some subset of $n$ possible symptoms numbered $1$ through $n$. He has purchased $m$ medicines. For each medicine $i$ you are given:

* $d_i$: the number of days it must be taken,
* a set of symptoms it cures,
* a set of symptoms it causes as side effects.

Rudolf may take at most one medicine at a time. His goal is to eliminate all symptoms in the minimum total number of days. Determine that minimum number of days, or report that it is impossible."
Gildong has bought a famous painting software The working screen of cfpaint is square shaped consisting of n rows and n columns of square cells The rows are numbered from 1 to n from top to bottom and the columns are numbered from 1 to n from left to right The position of a cell at row r and column c is represented as r c There are only two colors for the cells in cfpaint black and white There is a tool named in cfpaint The eraser has an integer size k 1 le k le n To use the eraser Gildong needs to click on a cell i j where 1 le i j le n k 1 When a cell i j is clicked all of the cells i j where i le i le i k 1 and j le j le j k 1 become white In other words a square with side equal to k cells and top left corner at i j is colored white A is a row or a column without any black cells Gildong has worked with cfpaint for some time so some of the cells possibly zero or all are currently black He wants to know the maximum number of after using the eraser Help Gildong find the answer to his question ,"You have an $n\times n$ grid of cells, initially some cells are black and the rest white. Rows are numbered $1$ through $n$ (top to bottom) and columns $1$ through $n$ (left to right); the cell in row $r$, column $c$ is $(r,c)$. You have an eraser of size $k$ ($1\le k\le n$). Each time you click at a cell $(i,j)$ with $1\le i,j\le n-k+1$, all cells $(r,c)$ satisfying $i\le r\le i+k-1$ and $j\le c\le j+k-1$ become white. A **line** is any row or column containing no black cells. Determine the maximum possible number of lines (rows and columns) you can obtain by applying the eraser any number of times."
You are given an undirected graph with n vertices and m edges You have to write a number on each vertex of this graph each number should be either 0 or 1 After that you write a number on each edge equal to the sum of numbers on vertices incident to that edge You have to choose the numbers you will write on the vertices so that there is at least one edge with 0 written on it at least one edge with 1 and at least one edge with 2 How many ways are there to do it Two ways to choose numbers are different if there exists at least one vertex which has different numbers written on it in these two ways ,"You are given an undirected graph with $n$ vertices and $m$ edges. Assign to each vertex a value—either?0 or?1. Then label each edge with the sum of the values on its two endpoints (so each edge label is 0,?1, or?2). Count the number of vertex assignments for which there is at least one edge labeled?0, at least one labeled?1, and at least one labeled?2. Two assignments are considered different if they assign different values to at least one vertex."
